NOMBRE;PLATAFORMA;NIVEL;TIPO DE MAQUINA;TECNICAS USADAS;HERRAMIENTAS
Aragog;Vulnhub;Medio;Linux;Enumeración de servicios, detección de WordPress, escaneo de vulnerabilidades con WPScan, explotación de File Manager, reverse shell, post-exploitation, escalada con backup cron, acceso persistente por SSH key;nmap, whatweb, gobuster, wpscan, curl, netcat, mysql, find, shred, ssh-keygen
Nagini;Vulnhub;Medio;Linux;Enumeración de hosts, escaneo de puertos, redirección de tráfico con túneles, enumeración web, explotación de archivos .bak, escaneo y explotación de Joomla, ingeniería inversa y creación de webshells;bash, ping, nmap, chisel, proxychains, gobuster, joomscan, socat, scp, wget, foxyproxy, php, curl, python, Gopherus
Fawkes;Vulnhub;Medio;Linux;Túneles SOCKS5 con Chisel, proxychains, análisis binario local, buffer overflow, bypass ASLR, creación de payload con msfvenom, explotación remota vía socat, escalada de privilegios mediante sudo sin contraseña;nmap, chisel, proxychains, nc, ftp, strace, gdb + GEF, msfvenom, python3, socat, ssh, sudo, linpeas
Dumbledore;Vulnhub;Medio;Windows;Escaneo SMB, detección de vulnerabilidad MS17-010, enumeración de named pipes;nmap, proxychains, crackmapexec, AutoBlue-MS17-010, nc
Matrix;Vulnhub;Medio;Linux;"	Escaneo de puertos, enumeración web, análisis de código fuente y Brainfuck, fuerza bruta de contraseña SSH, escape de shell restringido, escalada con sudo -l";nmap, gobuster, whatweb, base64, crunch, hydra, ssh, vi, script
Brainpain;Vulnhub;Dificil;Windows;Enumeración de servicios con proxychains, fuzzing con Burp Suite, análisis de binario remoto, ingeniería inversa, exploit de buffer overflow, desarrollo de shellcode con msfvenom, salto de EIP, uso de jmp esp, exploit Python, escalada por SUID y bypass de paginador less;proxychains, nmap, gobuster, Burp Suite, nc, Immunity Debugger, mona.py, msfvenom, python, sudo, bash
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
